GCEEMLA01, Matrix algebra,,Engineering Mathematics ,Linear Algebra
GCEEMLA02, Systems of linear equations,,Engineering Mathematics ,Linear Algebra
GCEEMLA03,Eigen values and Eigen vectors,,Engineering Mathematics ,Linear Algebra
GCEEMCA01,Functions of single variable,,Engineering Mathematics ,Calculus
GCEEMCA02,Limit,,Engineering Mathematics ,Calculus
GCEEMCA03,continuity and differentiability,,Engineering Mathematics ,Calculus
GCEEMCA04,Mean value theorems,,Engineering Mathematics ,Calculus
GCEEMCA05,local maxima and minima,,Engineering Mathematics ,Calculus
GCEEMCA06,Taylor and Maclaurin series,,Engineering Mathematics ,Calculus
GCEEMCA07,Evaluation of definite and indefinite integrals,,Engineering Mathematics ,Calculus
GCEEMCA08,application of definite integral to obtain area and volume,,Engineering Mathematics ,Calculus
GCEEMCA09,Partial derivatives,,Engineering Mathematics ,Calculus
GCEEMCA10,Total derivative,,Engineering Mathematics ,Calculus
GCEEMCA11,"Gradient, Divergence and Curl",,Engineering Mathematics ,Calculus
GCEEMCA12,Vector identities,,Engineering Mathematics ,Calculus
GCEEMCA13, Directional derivatives,,Engineering Mathematics ,Calculus
GCEEMCA14," Line, Surface and Volume integrals",,Engineering Mathematics ,Calculus
GCEEMCA15,"Stokes, Gauss and Green’s theorems",,Engineering Mathematics ,Calculus
GCEEMOD01,First order (linear and non-linear) equations,,Engineering Mathematics ,Ordinary Differential Equation (ODE)
GCEEMOD02,higher order linear equations with constant coefficients,,Engineering Mathematics ,Ordinary Differential Equation (ODE)
GCEEMOD03,Euler-Cauchy equations,,Engineering Mathematics ,Ordinary Differential Equation (ODE)
GCEEMOD04, Laplace transform and its application in solving linear ODEs,,Engineering Mathematics ,Ordinary Differential Equation (ODE)
GCEEMOD05,initial and boundary value problems,,Engineering Mathematics ,Ordinary Differential Equation (ODE)
GCEEMPD01,Fourier series,,Engineering Mathematics ,Partial Differential Equation (PDE)
GCEEMPD02,separation of variables,,Engineering Mathematics ,Partial Differential Equation (PDE)
GCEEMPD03,solutions of one- dimensional diffusion equation,,Engineering Mathematics ,Partial Differential Equation (PDE)
GCEEMPD04,first and second order one-dimensional wave equation,,Engineering Mathematics ,Partial Differential Equation (PDE)
GCEEMPD05,two dimensional Laplace equation,,Engineering Mathematics ,Partial Differential Equation (PDE)
GCEEMPS01, Definitions of probability and sampling theorems,,Engineering Mathematics ,Probability and Statistics
GCEEMPS02,Conditional probability,,Engineering Mathematics ,Probability and Statistics
GCEEMPS03,Discrete Random variables: Poisson and Binomial distributions,,Engineering Mathematics ,Probability and Statistics
GCEEMPS04,Continuous random variables: normal and exponential distributions,,Engineering Mathematics ,Probability and Statistics
GCEEMPS05,"Descriptive statistics - Mean, median, mode and standard deviation",,Engineering Mathematics ,Probability and Statistics
GCEEMPS06,Hypothesis testing,,Engineering Mathematics ,Probability and Statistics
GCEEMNM01,Accuracy and precision,,Engineering Mathematics ,Numerical Methods
GCEEMNM02,error analysis,,Engineering Mathematics ,Numerical Methods
GCEEMNM03,Numerical solutions of linear and non-linear algebraic equations,,Engineering Mathematics ,Numerical Methods
GCEEMNM04,Least square approximation,,Engineering Mathematics ,Numerical Methods
GCEEMNM05,Newton’s and Lagrange polynomials,,Engineering Mathematics ,Numerical Methods
GCEEMNM06,numerical differentiation,,Engineering Mathematics ,Numerical Methods
GCEEMNM07,Integration by trapezoidal and Simpson’s rule,,Engineering Mathematics ,Numerical Methods
GCEEMNM08,single and multi-step methods for first order differential equations,,Engineering Mathematics ,Numerical Methods
GCESEEM01,System of forces,,Structural Engineering ,Engineering Mechanics
GCESEEM02,free-body diagrams,,Structural Engineering ,Engineering Mechanics
GCESEEM03,equilibrium equations,,Structural Engineering ,Engineering Mechanics
GCESEEM04, Internal forces in structures,,Structural Engineering ,Engineering Mechanics
GCESEEM05,Friction and its applications,,Structural Engineering ,Engineering Mechanics
GCESEEM06,Kinematics of point mass and rigid body,,Structural Engineering ,Engineering Mechanics
GCESEEM07,Centre of mass,,Structural Engineering ,Engineering Mechanics
GCESEEM08,Euler’s equations of motion,,Structural Engineering ,Engineering Mechanics
