GPIEMLA01,Matrix algebra,,Engineering Mathematics,Linear Algebra
GPIEMLA02, Systems of linear equations,,Engineering Mathematics,Linear Algebra
GPIEMLA03,Eigen values and eigen vectors,,Engineering Mathematics,Linear Algebra
GPIEMCA01,Functions of single variable,,Engineering Mathematics,Calculus
GPIEMCA02,Limit,,Engineering Mathematics,Calculus
GPIEMCA03,continuity and differentiability,,Engineering Mathematics,Calculus
GPIEMCA04, Mean value theorems,,Engineering Mathematics,Calculus
GPIEMCA05,Evaluation of definite and improper integrals,,Engineering Mathematics,Calculus
GPIEMCA06,Partial derivatives,,Engineering Mathematics,Calculus
GPIEMCA07,Total derivative,,Engineering Mathematics,Calculus
GPIEMCA08,Maxima and minima,,Engineering Mathematics,Calculus
GPIEMCA09,"Gradient, Divergence and Curl",,Engineering Mathematics,Calculus
GPIEMCA10,Vector identities,,Engineering Mathematics,Calculus
GPIEMCA11,Directional derivatives,,Engineering Mathematics,Calculus
GPIEMCA12,"Line, Surface and Volume integrals",,Engineering Mathematics,Calculus
GPIEMCA13,"Stokes, Gauss and Green’s theorems",,Engineering Mathematics,Calculus
GPIEMDE01,First order equations (linear and nonlinear),,Engineering Mathematics,Differential equations
GPIEMDE02,Higher order linear differential equations with constant coefficients,,Engineering Mathematics,Differential equations
GPIEMDE03,Cauchy’s and Euler’s equations,,Engineering Mathematics,Differential equations
GPIEMDE04,Initial and boundary value problems,,Engineering Mathematics,Differential equations
GPIEMDE05, Laplace transforms,,Engineering Mathematics,Differential equations
GPIEMDE06,Solutions of one dimensional heat and wave equations,,Engineering Mathematics,Differential equations
GPIEMDE07, Laplace equation,,Engineering Mathematics,Differential equations
GPIEMCV01,Analytic functions,,Engineering Mathematics,Complex variables
GPIEMCV02, Cauchy’s integral theorem,,Engineering Mathematics,Complex variables
GPIEMCV03,Taylor series,,Engineering Mathematics,Complex variables
GPIEMPS01,Definitions of probability and sampling theorems,,Engineering Mathematics,Probability and Statistics
GPIEMPS02,Conditional probability,,Engineering Mathematics,Probability and Statistics
GPIEMPS03,"Mean, median, mode and standard deviation",,Engineering Mathematics,Probability and Statistics
GPIEMPS04,Random variables,,Engineering Mathematics,Probability and Statistics
GPIEMPS05,"Poisson, Normal and Binomial distributions",,Engineering Mathematics,Probability and Statistics
GPIEMNM01,Numerical solutions of linear and non-linear algebraic equations,,Engineering Mathematics,Numerical Methods
GPIEMNM02,Integration by trapezoidal and Simpson’s rule,,Engineering Mathematics,Numerical Methods
GPIEMNM03,single and multi-step methods for differential equations,,Engineering Mathematics,Numerical Methods
